ID,構成資産名,住所,北緯[度],東経[度],X座標[m],Y座標[m],山頂原点X座標[m],山頂原点Y座標[m]
0,山頂の信仰遺跡群,静岡県富士宮市,35.360628,138.727365,-70909.479,20662.2119,0,0
1,大宮・村山口登山道（現富士宮口登山道）,静岡県富士宮市,35.33756179,138.7332916,-73467.103,21206.834,-2557.624,544.6221
2,須山口登山道（現御殿場口登山道）,静岡県御殿場市,35.33542974,138.7950575,-73688.651,26822.24,-2779.172,6160.0281
3,須走口登山道,静岡県駿東郡御山町須走,35.36815435,138.7774301,-70062.932,25209.637,846.547,4547.4251
4,吉田口登山道,山梨県南都留郡鳴沢村,35.3947018,138.7336993,-67128.103,21228.929,3781.376,566.7171
5,北口本宮冨士浅間神社,山梨県富士吉田市上吉田5558番地,35.470787,138.7933,-58672.949,26617.938,12236.53,5955.7261
6,西湖,山梨県南都留郡富士河口湖町西湖,35.50543826,138.6865202,-54852.331,16920.043,16057.148,-3742.1689
7,精進湖,山梨県南都留郡富士河口湖町精進,35.497629,138.608887,-55729.225,9878.556,15180.254,-10783.6559
8,本栖湖,山梨県南都留郡富士河口湖町,35.463889,138.585556,-59474.3704,7765.1408,11435.1086,-12897.0711
9,富士山本宮浅間大社,静岡県富士宮市宮町1-1,35.227777,138.610053,-85665.464,10017.618,-14755.985,-10644.5939
10,山宮浅間神社,静岡県富士宮市山宮740,35.271244,138.637056,-80840.4317,12468.9206,-9930.9527,-8193.2913
11,村山浅間神社,静岡県富士宮市村山字水神1151,35.261439,138.666144,-81924.1014,15117.0781,-11014.6224,-5545.1338
12,須山浅間神社,静岡県裾野市須山柳沢722,35.254597,138.848953,-82639.9533,31753.1876,-11730.4743,11090.9757
13,冨士浅間神社（須走浅間神社）,静岡県駿東郡小山町須走126番地,35.362647,138.863397,-70648.6142,33023.5924,260.8648,12361.3805
14,河口浅間神社,山梨県南都留郡富士河口湖町河口1,35.530916,138.774838,-52007.112,24923.865,18902.367,4261.6531
15,冨士御室浅間神社,山梨県南都留郡富士河口湖町勝山3951番地,35.510532,138.745798,-54275.454,22295.984,16634.025,1633.7721
16,御師住宅,富士吉田市上吉田3-14-8,35.480013,138.79653,-57648.552,26907.998,13260.927,6245.7861
17,山中湖,山梨県南都留郡山中湖村,35.416667,138.875,-64651.8424,34055.3007,6257.6366,13393.0888
18,河口湖,山梨県南都留郡富士河口湖町,35.517778,138.756111,-53469.2076,23229.3763,17440.2714,2567.1644
19,忍野八海,山梨県南都留郡忍野村忍草,35.46017359,138.8325012,-59839.1115,30179.55,11070.3675,9517.3381
20,船津胎内樹型,山梨県南都留郡富士河口湖町船津6603,35.45298295,138.7557149,-60657.5833,23212.0722,10251.8957,2549.8603
21,吉田胎内樹型,山梨県富士吉田市上吉田剣丸尾5590,35.4492458,138.7613583,-61070.835,23725.4375,9838.644,3063.2256
22,人穴冨士講遺跡,静岡県富士宮市人穴206,35.36133786,138.5912097,-70850.6372,8288.7658,58.8418,-12373.4461
23,白糸の滝,静岡県富士宮市上井出,35.312939,138.587343,-76220.1161,7942.1141,-5310.6371,-12720.0978
24,三保松原,静岡県静岡市清水区三保,34.99506197,138.5243583,-111486.176,2223.533,-40576.697,-18438.6789
